tag,N,Lx0,Ly0,Lz0,V0,V_end_target,V_end,Vratio_end,end_ok,piston_velocity,dt_init,t_hit,t_end,T0,P0_IG,U0,W0,T_end,P_end,PIG_end,U_end,W_end,P_end_mech,chi_P_end_mech,P_end_imp_smooth,chi_P_end_smooth,endcap_i0,endcap_i1,endcap_events,chi_T_end,chi_P_end,rms_PV_gamma,rms_TV_gm1,res_WE,pass_WE,avg_sigma_IG,cum_sigma_IG,avg_sigma_upper,cum_sigma_upper,sigma_IG_norm,sigma_upper_norm,eos_rel_diff_rms,eos_rel_diff_end,phi0,phi_end,ts_path
N9128_dt0.100_v-0.0050,9128,20.0,20.0,20.0,8000.0,4000.0,4000.0,0.5,1,-0.005,0.1,2000.5,2000.5,0.3299434757183375,0.37646550579462307,4517.586069535477,0.0,0.602435809229427,2.079577095478238,1.3747585166615524,8248.551099969314,3731.1147858037893,1.9140227658242916,0.6014200076245557,1.9137155463681461,0.6011629639819265,3882,4005,23987,0.15022968041132034,0.7399356097326237,0.06900698530293622,0.0690069853029362,-0.14975536995189032,1,0.47865840861576464,1917.5055849147532,0.0002872561177872359,1.150748007855667,0.30306483328586825,0.00018187756838806144,0.3294560117380381,0.5126853700301193,0.038235276989290176,0.07647055397858035,phase1_out_sameV_v2/timeseries/N9128_dt0.100_v-0.0050.csv
N9128_dt0.100_v-0.0500,9128,20.0,20.0,20.0,8000.0,4000.0,4000.0,0.5,1,-0.05,0.1,200.5,200.5,0.3299434757183375,0.37646550579462307,4517.586069535477,0.0,0.6040018915182536,0.8480993989042531,1.3783323164446546,8269.993898667928,3756.968490243041,1.9183947079707273,0.6050779137636524,1.8493117296316468,0.547277732034438,375,402,5143,0.15321979869940638,-0.2904142154888505,0.07142965432125094,0.0714296543212509,-4.560661110589535,1,4.873601276222797,1964.0613143177873,0.03017161783787725,12.159161988664533,0.3104230409912501,0.0019217750550407436,0.33698491352806265,0.3846916387392796,0.038235276989290176,0.07647055397858035,phase1_out_sameV_v2/timeseries/N9128_dt0.100_v-0.0500.csv
N9128_dt0.100_v-0.2000,9128,20.0,20.0,20.0,8000.0,4000.0,4000.0,0.5,1,-0.2,0.1,50.5,50.5,0.3299434757183375,0.37646550579462307,4517.586069535477,0.0,0.6173549993840204,1.8905833844550175,1.4088041085943346,8452.824651566007,3967.312332697892,1.9920513604501149,0.6667047862759767,1.5215410780104877,0.2730393641369644,71,101,5026,0.1787148651573327,0.5818088018639322,0.08880615742120349,0.08880615742120347,-32.07375066736222,1,23.300255363508047,2376.6260470778207,1.2286510017076155,125.32240217417679,0.3756295587386845,0.01980740667495367,0.44670073602631655,0.34197747786339777,0.038235276989290176,0.07647055397858035,phase1_out_sameV_v2/timeseries/N9128_dt0.100_v-0.2000.csv
N9128_dt0.200_v-0.0050,9128,20.0,20.0,20.0,8000.0,4000.0,4000.0,0.5,1,-0.005,0.2,2000.5,2000.5,0.3299434757183375,0.37646550579462307,4517.586069535477,0.0,0.6022540512114971,6.158459143920603,1.3743437448646363,8246.062469187818,3729.4653276493773,1.9148709440848761,0.6021296593908696,1.915016309267664,0.6022512831856777,3881,4005,23938,0.1498826501324546,4.152644924244443,0.06885737381995305,0.06885737381995304,-0.9889279970357165,1,0.4779690440758064,1914.7439905676806,0.00062923729045152,2.520724585548789,0.30262835886984407,0.00039840456387139846,0.3324443694776369,3.481018061843888,0.038235276989290176,0.07647055397858035,phase1_out_sameV_v2/timeseries/N9128_dt0.200_v-0.0050.csv
N9128_dt0.200_v-0.0500,9128,20.0,20.0,20.0,8000.0,4000.0,4000.0,0.5,1,-0.05,0.2,200.5,200.5,0.3299434757183375,0.37646550579462307,4517.586069535477,0.0,0.6043717775039245,2.0298613107320116,1.3791763962639556,8275.058377583733,3760.3662433675677,1.9455820636517178,0.6278249657419985,1.8438907322968405,0.542742104899669,374,401,5148,0.15392602139163158,0.6983395253970879,0.07148904029218518,0.07148904029218517,-2.8939353193113675,1,4.899468767506693,1969.5864445376906,0.023139268574672637,9.3019859670184,0.31129629668455866,0.001470193802041649,0.335223142466722,0.47179238002527685,0.038235276989290176,0.07647055397858035,phase1_out_sameV_v2/timeseries/N9128_dt0.200_v-0.0500.csv
N9128_dt0.200_v-0.2000,9128,20.0,20.0,20.0,8000.0,4000.0,4000.0,0.5,1,-0.2,0.2,50.5,50.5,0.3299434757183375,0.37646550579462307,4517.586069535477,0.0,0.6180049125229398,2.0722699299659815,1.4102872103773487,8461.723262264091,3964.37209217423,1.926191168761952,0.6116010380036874,1.5271802506023622,0.27775753362602296,70,100,5138,0.17995574322371222,0.7338218679008683,0.0894048844322553,0.0894048844322553,-20.23489944561561,1,23.480533649137488,2371.5338985628864,1.0477598533290906,105.82374518623814,0.37482473649832887,0.01672561266306782,0.4480712655649615,0.4693956767937411,0.038235276989290176,0.07647055397858035,phase1_out_sameV_v2/timeseries/N9128_dt0.200_v-0.2000.csv
N9128_dt0.500_v-0.0050,9128,20.0,20.0,20.0,8000.0,4000.0,4000.0,0.5,1,-0.005,0.5,2000.5,2000.5,0.3299434757183375,0.37646550579462307,4517.586069535477,0.0,0.6022498888205728,1.9220167098115515,1.3743342462885473,8246.005477731283,3729.254797021441,1.919278131141213,0.6058170541572128,1.919300444767852,0.6058357234691878,3881,4003,23927,0.14987470288644222,0.6081083616345535,0.06875742322652631,0.06875742322652627,-0.8353888256342543,1,0.4781664393322792,1914.578423086446,0.0006118350873634493,2.449787689803251,0.3026021906638724,0.00038719287371932304,0.3284480264239602,0.3985074700729068,0.038235276989290176,0.07647055397858035,phase1_out_sameV_v2/timeseries/N9128_dt0.500_v-0.0050.csv
N9128_dt0.500_v-0.0500,9128,20.0,20.0,20.0,8000.0,4000.0,4000.0,0.5,1,-0.05,0.5,200.5,200.5,0.3299434757183375,0.37646550579462307,4517.586069535477,0.0,0.6038758600112666,1.7108142537703486,1.3780447125457103,8268.268275274262,3754.106265958245,1.9077330499951852,0.5961575431696642,1.8556935368696768,0.5526172473099438,374,400,5070,0.1529791669544429,0.43139999389569406,0.0713913359499607,0.07139133594996067,-3.424060219459534,1,4.8859671239576565,1959.2728167070204,0.025506099541408152,10.22794591610467,0.3096662112633402,0.0016165432571915788,0.3313334080527796,0.24147949496493584,0.038235276989290176,0.07647055397858035,phase1_out_sameV_v2/timeseries/N9128_dt0.500_v-0.0500.csv
N9128_dt0.500_v-0.2000,9128,20.0,20.0,20.0,8000.0,4000.0,4000.0,0.5,1,-0.2,0.5,50.5,50.5,0.3299434757183375,0.37646550579462307,4517.586069535477,0.0,0.6173320155665026,2.5661029603377723,1.408751659522759,8452.509957136554,3959.1579958229486,2.0341842644177484,0.7019564439875998,1.5141626818391978,0.26686602520711333,69,100,5069,0.17867098219308497,1.1470009112142172,0.089806105834999,0.08980610583499898,-24.234108221871793,1,23.389374581798286,2362.326832761627,1.1042865708063614,111.5329436514425,0.373369544980733,0.017627960637783116,0.4422497925070873,0.8215438775114472,0.038235276989290176,0.07647055397858035,phase1_out_sameV_v2/timeseries/N9128_dt0.500_v-0.2000.csv
